Name,Joinable,Description,Average Reward,Average Reward Subtext,Max Reward,Max Reward Subtext,Safe Harbor,Solo-Only
Docusign: Vulnerability Disclosure Program,false,Our mission is to accelerate business and simplify life for c…,,,"Up to $3,000",maximum reward,true,false
Arlo Cash Rewards,false,arlo Cash Rewards Program,"$100 - $6,000",per vulnerability,"Up to $15,000",maximum reward,partial,false
Kenna Security,false,A Hosted Vulnerability Intelligence Platform,,,"Up to $15,000",maximum reward,partial,false
eero,false,"Finally, WiFi that works!",,,"Up to $15,000",maximum reward,partial,false
PlanetHoster,false,PlanetHoster invites you to test their web hosting platform!,,,"Up to $15,000",maximum reward,partial,false
Directly,false,CX Automation,,,"Up to $15,000",maximum reward,true,false
"Simplifying complex work wherever, and you can help secure it! (2x bonus rewards)",true,APIs and Webapps used to bring the future of finance to light,,,"Up to $15,000",maximum reward,true,false
Test a unicorn in the airline ticketing and hotel booking industry!,true,"Help secure our mobile apps, APIs and websites!",,,"Up to $15,000",maximum reward,false,false
Optimizely,false,Unlock Digital Potential,,,"Up to $15,000",maximum reward,partial,false
Binance,false,Cryptocurrency Exchange,"$200 - $10,000",per vulnerability,"Up to $100,000",maximum reward,partial,false
Octopus,false,Octopus Bug Bounty Program,,,"Up to $100,000",maximum reward,true,false
Skyscanner,false,"We’re the travel company who puts you first. All the flight, …",,,"Up to $100,000",maximum reward,true,false
Audiomack-VDP Pro,false,Help secure Audiomack,,,"Up to $100,000",maximum reward,true,true
Stellantis,false,"Stellantis, formed by the merger of Fiat Chrysler Automobiles…",,,"Up to $100,000",maximum reward,true,false
Empower Personal Wealth,false,Financial Software and Wealth Management,,,"Up to $100,000",maximum reward,true,false
WestJet's Vulnerability Disclosure Program,false,WestJet VDP,,,"Up to $100,000",maximum reward,true,true
"Automate, customize and extend!",true,Creators of brilliant apps for the Atlassian stack and master…,,,"Up to $100,000",maximum reward,true,false
Bitdefender,false,Cybersecurity Solutions for Business and Personal Use,,,"Up to $100,000",maximum reward,true,false
Mastercard SRC,false,Mastercard operates the world’s fastest payments processing n…,,,"Up to $100,000",maximum reward,partial,false
Tesla,false,Accelerating the world’s transition to sustainable energy,,,"Up to $100,000",maximum reward,partial,false
Viator,false,Viator - Travel with an Insider,,,"Up to $100,000",maximum reward,partial,false
Cloudways,false,Managed Cloud Hosting Platform For Growing Businesses,,,"Up to $100,000",maximum reward,partial,false
Global Financial Institution,true,Help to secure our Financial web applications and ensure data…,,,"Up to $100,000",maximum reward,partial,true
Large US Insurance Provider,false,Waitlisted,,,"Up to $100,000",maximum reward,false,false
Unilever Vulnerability Disclosure Program,false,"At Unilever we meet everyday needs for nutrition, hygiene and…",,,"Up to $100,000",maximum reward,true,true
Be the Authority!,true,Targets for all skillsets,,,"Up to $100,000",maximum reward,partial,false
3 Easy payments,false,Waitlisted,,,"Up to $100,000",maximum reward,false,false
Wise (ex-TransferWise),false,Wise — the global technology company building the best way to…,"$100 - $4,000",per vulnerability,"Up to $6,000",maximum reward,true,false
An international IT and telecommunications company would like your help to secure their API and Web targets! Can you help them?,true,Looking for a challenging and broad scope to test on? Skilled…,,,"Up to $6,000",maximum reward,partial,false
Takeaway.com,false,"Lead, Deliver, Care - Takeaway.com","$100 - $2,500",per vulnerability,"Up to $5,000",maximum reward,true,false
Application to find help around the house.,false,Waitlisted,,,"Up to $5,000",maximum reward,false,false
A leading eCommerce marketing platform is looking for researchers to help would like your help find bugs in their API and Web targets! Can you help them?,false,Waitlisted,,,"Up to $5,000",maximum reward,false,false
"A Cryptocurrency payment system needs your help to secure multiple web applications, APIs and mobile applications!",true,"Talented researchers needed to test out web, APIs and mobile …",,,"Up to $5,000",maximum reward,false,false
BitDiscovery,false,Vulnerability Disclosure Program - Powered by Bugcrowd,,,"Up to $5,000",maximum reward,true,true
Click here to submit a support ticket!,true,Can you find any vulnerabilities in this customer success pla…,,,"Up to $5,000",maximum reward,true,false
SDKs and APIs Oh My!,true,Our encryption clients leverage their restful SaaS APIs,,,"Up to $5,000",maximum reward,false,true
MasterCard VDP,false,MasterCard Vulnerability Disclosure Program,,,"Up to $5,000",maximum reward,partial,true
Mettle,false,The forward-looking business account,,,"Up to $5,000",maximum reward,false,false
Naspers,false,Naspers,,,"Up to $5,000",maximum reward,true,true
Atlassian,false,Collaboration tools for teams of all sizes,,,"Up to $5,000",maximum reward,false,false
HealthifyMe's Vulnerability Disclosure Program,false,"Weight Loss Diet, Exercise and Yoga Coach",,,"Up to $5,000",maximum reward,partial,false
Leading Cybersecurity Solutions Provider,false,Waitlisted,,,"Up to $5,000",maximum reward,false,false
SoundCloud,false,SoundCloud is the world’s largest open audio platform. With o…,,,"Up to $5,000",maximum reward,true,false
Mastercard (VDP Extension),false,Mastercard's Extended Vulnerability Disclosure Program,,,"Up to $5,000",maximum reward,partial,true
Financial Services Provider,true,Uplevel your web and API skills,,,"Up to $5,000",maximum reward,true,false
"No hardware, no problem! Route your submissions here!",true,Help secure a router's operating system.,,,"Up to $5,000",maximum reward,true,false
Help Secure an Anti-Crime FinTech Application,true,Web and API Target,,,"Up to $5,000",maximum reward,false,false
Opsgenie,false,Opsgenie is a modern incident management platform for operati…,,,"Up to $5,000",maximum reward,true,false
Telefónica Germany,false,As Germany's biggest mobile provider it is our obligation to …,,,"Up to $5,000",maximum reward,partial,false
A multinational telecommunications is looking for top talent to secure their huge attack surface!,false,Waitlisted,,,"Up to $5,000",maximum reward,false,false
Help secure the connection between teachers and students and build better classrooms,true,"Android, iOS , Web testing and APIs",,,"Up to $5,000",maximum reward,true,false
End to End Payment Solution,true,Wide Scope Web and Mobile Targets,,,"Up to $5,000",maximum reward,true,false
Help make the cloud landscape more secure,true,A continuous assurance tool that provides an overview of your…,,,"Up to $5,000",maximum reward,true,false
The leader in transport fuels.,true,"Android and IoS applications, with multiple APIs.","$150 - $2,500",per vulnerability,"Up to $4,000",maximum reward,true,false
Trello,false,"Trello keeps track of everything, from the big picture to the…",,,"Up to $4,000",maximum reward,false,false
Overstock's Vulnerability Disclosure Page!,false,It's all about the O®,,,"Up to $4,000",maximum reward,partial,false
Arlo Kudos Rewards,false,Arlo Kudos Rewards Program,,,"Up to $4,000",maximum reward,partial,false
Under Armour AppSec,false,Under Armour’s vision is to inspire you with performance solu…,,,"Up to $4,000",maximum reward,partial,false
Moneytree KK,false,Your Lifetime Financial Record,,,"Up to $4,000",maximum reward,partial,false
Lenovo Responsible Disclosure,false,"As a global personal technology company, Lenovo develops, man…",,,"Up to $4,000",maximum reward,partial,true
Square Open Source,false,https://square.github.io,,,"Up to $4,000",maximum reward,false,false
A consumer device maker is looking for help securing its hardware/software assets,true,A consumer device maker is looking for help securing its hard…,,,"Up to $4,000",maximum reward,false,false
Etsy,false,Shop for anything from creative people everywhere,,,"Up to $4,000",maximum reward,partial,false
Cisco Meraki,false,"Cisco Meraki is the leader in cloud controlled WiFi, routing,…",,,"Up to $4,000",maximum reward,false,false
Bitdefender Box v2,false,"Internet security solution that incorporates hardware, cloud …",,,"Up to $4,000",maximum reward,true,false
Square,false,We make selling simple for businesses of all sizes.,,,"Up to $4,000",maximum reward,false,false
FinTech provider,true,A FinTech payment technology company is looking to have their…,,,"Up to $4,000",maximum reward,partial,false
SAP Concur,false,SAP Concur is the world’s leading provider of integrated trav…,,,"Up to $4,000",maximum reward,partial,false
Sports and Gaming with Large Attack Surface,true,"Web Apps, Multiple iOS and Android Apps Need Testing",,,"Up to $4,000",maximum reward,false,false
NETGEAR Kudos Rewards,false,NETGEAR Kudos Rewards Program,,,"Up to $4,000",maximum reward,partial,false
NETGEAR Cash Rewards,false,NETGEAR Cash Rewards Program,"$150 - $1,200",per vulnerability,"Up to $15,000",maximum reward,false,false
Retail Company,true,Secure Web and Mobile Targets,,,"Up to $15,000",maximum reward,partial,true
Payment platform looking for bug hunters!,true,"Make up to $5,000 securing a payments platform.",,,"Up to $15,000",maximum reward,partial,false
Cloud Services Company Wants Your Help!,false,Waitlisted,,,"Up to $15,000",maximum reward,false,false
InVision,false,"The world's leading prototyping, collaboration & workflow pla…","$25 - $2,500",per vulnerability,"Up to $5,000",maximum reward,partial,false
LastPass,false,LastPass is a password manager and form filler which locally …,,,"Up to $5,000",maximum reward,partial,false
OWASP Java Encoder,false,This project will help Java web developers defend against Cro…,,,"Up to $5,000",maximum reward,partial,false
Help secure a shocking new eCommerce platform,true,Help secure a shocking new eCommerce platform,,,"Up to $5,000",maximum reward,partial,false
Mastercard,false,Mastercard operates the world’s fastest payments processing n…,,,"Up to $5,000",maximum reward,partial,false
OWASP CSRFGuard,false,Open Web Application Security Project,,,"Up to $5,000",maximum reward,partial,false
OWASP Java HTML Sanitizer,false,OWASP Java HTML Sanitizer Project,,,"Up to $5,000",maximum reward,partial,false
OWASP® ZAP,false,OWASP Zed Attack Proxy - one of the world’s most popular free…,,,"Up to $5,000",maximum reward,true,false
Leading Survey Solutions Provider,true,"Wide Scope Web, API and mobile targets",,,"Up to $5,000",maximum reward,partial,false
SecureDrop,false,The open-source whistleblower submission system managed by Fr…,,,"Up to $5,000",maximum reward,partial,false
FoxyCart,false,A superior ecommerce experience,,,"Up to $5,000",maximum reward,partial,false
Humble Bundle,false,Pay what you want and help charity,,,"Up to $5,000",maximum reward,partial,false
